"","AIC","McFadden","HitRate"
"1",1268.52,0.603,54.072
"2",1268.218,0.626,54.072
"3",1270.132,0.633,54.18
"4",1268.885,0.574,54.072
"5",1272.838,0.263,54.832
"6",1272.608,0.281,55.049
"7",1274.442,0.294,54.397
"8",1273.162,0.238,54.94
"9",1273.619,0.202,54.289
"10",1273.644,0.2,54.072
"11",1275.618,0.202,54.289
"12",1273.723,0.194,54.289
"13",788.552,38.33,79.262
"14",1274.426,0.138,53.529
"15",787.95,38.535,79.587
"16",780.354,38.975,79.262
"17",1116.255,12.571,67.752
"18",1275.219,0.076,53.529
"19",1115.199,12.812,67.21
"20",1102.867,13.624,68.187
"21",777.601,39.348,78.936
"22",777.658,39.344,79.153
"23",777.795,39.333,78.827
"24",777.601,39.348,78.936
"25",777.42,39.363,79.153
"26",778.026,39.315,78.827
"27",779.485,39.2,78.61
"28",779.124,39.229,79.045
"29",779.956,39.163,78.61
"30",1270.288,0.621,53.963
"31",1270.067,0.638,53.963
"32",1270.554,0.6,54.072
"33",1271.59,0.518,53.637
"34",1271.229,0.547,53.855
"35",1272.083,0.48,53.529
"36",1272.854,0.419,54.397
"37",1272.862,0.418,53.855
"38",1273.022,0.406,54.072
"39",774.918,39.559,79.262
"40",775.188,39.538,79.37
"41",774.801,39.568,78.827
"42",774.979,39.555,79.262
"43",775.31,39.529,79.37
"44",774.801,39.568,78.827
"45",776.172,39.461,78.936
"46",776.305,39.45,79.045
"47",776.09,39.467,78.827
"48",1116.185,12.734,69.055
"49",1116.528,12.707,69.055
"50",1115.88,12.758,69.598
"51",1116.076,12.743,67.101
"52",1115.397,12.796,67.644
"53",1116.649,12.698,67.101
"54",1116.185,12.734,69.055
"55",1115.891,12.757,69.055
"56",1116.442,12.714,69.381
"57",1270.512,0.603,54.072
"58",1270.218,0.626,54.072
"59",1270.848,0.577,54.072
"60",1272.521,0.445,54.506
"61",1272.149,0.475,54.832
"62",1273.021,0.406,54.289
"63",1273.868,0.339,53.746
"64",1273.856,0.34,53.855
"65",1274.038,0.326,53.963
"66",1103.498,13.731,69.381
"67",1103.695,13.716,69.381
"68",1103.316,13.746,69.707
"69",1102.234,13.831,67.535
"70",1101.573,13.883,67.427
"71",1102.83,13.784,67.318
"72",1103.209,13.754,69.49
"73",1103.086,13.764,69.49
"74",1103.316,13.746,69.707
