"","AIC","McFadden","HitRate"
"1",1268.498,0.604,54.072
"2",1268.189,0.629,54.072
"3",1270.099,0.636,54.18
"4",1268.868,0.575,53.963
"5",1272.839,0.263,54.832
"6",1272.608,0.281,55.049
"7",1274.438,0.295,54.397
"8",1273.165,0.237,54.94
"9",1273.621,0.202,54.289
"10",1273.645,0.2,54.072
"11",1275.62,0.202,54.289
"12",1273.725,0.193,54.289
"13",788.865,38.306,79.262
"14",1274.386,0.141,53.529
"15",787.205,38.593,79.587
"16",779.271,39.06,79.262
"17",1127.451,11.691,67.644
"18",1275.187,0.079,53.529
"19",1124.29,12.097,66.884
"20",1112.429,12.872,68.187
"21",778.088,39.31,78.719
"22",778.288,39.294,79.045
"23",778.149,39.305,78.719
"24",778.088,39.31,78.719
"25",777.989,39.318,79.153
"26",778.441,39.282,78.719
"27",780.005,39.159,78.61
"28",779.718,39.182,78.936
"29",780.421,39.127,78.61
"30",1270.239,0.625,53.963
"31",1270.015,0.642,53.963
"32",1270.506,0.604,54.072
"33",1271.536,0.523,53.637
"34",1271.171,0.551,53.855
"35",1272.034,0.484,53.529
"36",1272.83,0.421,54.397
"37",1272.84,0.42,53.963
"38",1272.996,0.408,54.072
"39",774.01,39.631,79.262
"40",774.341,39.605,79.37
"41",773.828,39.645,78.827
"42",774.059,39.627,79.262
"43",774.441,39.597,79.37
"44",773.828,39.645,78.827
"45",775.328,39.527,78.936
"46",775.502,39.513,78.827
"47",775.204,39.537,78.936
"48",1128,11.805,68.947
"49",1128.296,11.782,68.838
"50",1127.708,11.828,69.381
"51",1125.846,11.975,66.884
"52",1124.87,12.051,66.992
"53",1126.686,11.909,66.667
"54",1128,11.805,68.947
"55",1127.621,11.835,68.838
"56",1128.295,11.782,69.055
"57",1270.485,0.605,54.072
"58",1270.189,0.629,54.072
"59",1270.824,0.579,53.963
"60",1272.502,0.447,54.506
"61",1272.129,0.476,54.723
"62",1273,0.408,54.397
"63",1273.85,0.341,53.637
"64",1273.84,0.342,53.855
"65",1274.017,0.328,53.746
"66",1113.52,12.944,69.164
"67",1113.687,12.93,69.055
"68",1113.349,12.957,69.49
"69",1110.27,13.199,67.644
"70",1109.304,13.275,67.644
"71",1111.142,13.13,67.427
"72",1113.22,12.967,69.49
"73",1113.053,12.98,69.49
"74",1113.349,12.957,69.49
