"","AIC","McFadden","HitRate"
"1",1246.106,1.793,57.655
"2",1246.184,1.787,56.46
"3",1248.062,1.796,57.438
"4",1246.376,1.771,57.98
"5",1268.778,0,55.7
"6",1268.758,0.002,55.7
"7",1270.055,0.057,55.7
"8",1268.777,0,55.7
"9",1268.766,0.001,55.7
"10",1268.771,0.001,55.7
"11",1270.723,0.005,55.7
"12",1268.751,0.002,55.7
"13",728.168,42.744,81.107
"14",1261.406,0.583,56.352
"15",727.352,42.966,81.325
"16",712.266,44.001,80.999
"17",1102.82,13.122,71.444
"18",1264.4,0.346,56.46
"19",1102.34,13.318,72.204
"20",1084.063,14.605,72.096
"21",710.01,44.337,81.433
"22",710.25,44.318,81.216
"23",710.161,44.325,81.433
"24",710.01,44.337,81.433
"25",709.592,44.37,81.107
"26",710.778,44.277,81.433
"27",711.853,44.192,80.999
"28",710.974,44.261,80.782
"29",712.842,44.113,80.999
"30",1247.068,1.875,56.352
"31",1247.348,1.853,57.112
"32",1247.064,1.875,56.46
"33",1262.624,0.645,56.895
"34",1262.357,0.666,57.329
"35",1262.874,0.625,56.678
"36",1263.087,0.608,56.678
"37",1263.044,0.612,56.678
"38",1263.165,0.602,56.569
"39",697.268,45.345,81.325
"40",697.81,45.302,81.107
"41",697.077,45.36,81.216
"42",697.1,45.358,81.325
"43",697.476,45.328,80.999
"44",697.077,45.36,81.216
"45",698.885,45.217,80.782
"46",698.878,45.217,80.456
"47",699.03,45.206,80.782
"48",1096.843,13.752,69.381
"49",1097.83,13.674,70.033
"50",1095.984,13.82,70.141
"51",1104.649,13.135,71.987
"52",1104.347,13.159,71.987
"53",1104.793,13.124,71.77
"54",1096.843,13.752,69.381
"55",1096.023,13.817,69.381
"56",1097.585,13.694,69.815
"57",1247.917,1.808,57.22
"58",1248.081,1.795,56.569
"59",1248.054,1.797,57.655
"60",1265.788,0.395,56.569
"61",1265.54,0.414,56.678
"62",1266.011,0.377,56.352
"63",1266.225,0.36,56.569
"64",1266.184,0.363,56.569
"65",1266.284,0.355,56.569
"66",1078.992,15.164,71.661
"67",1079.73,15.105,71.878
"68",1078.356,15.214,71.878
"69",1085.854,14.621,71.553
"70",1085.552,14.645,71.553
"71",1086.016,14.608,71.878
"72",1077.998,15.242,71.444
"73",1077.642,15.271,71.553
"74",1078.356,15.214,71.878
