"","AIC","McFadden","HitMiss"
"1",1718.758,0.915,50.923
"2",1718.414,0.934,50.489
"3",1720.397,0.935,50.489
"4",1719.314,0.882,49.729
"5",1733.576,0.057,45.711
"6",1733.387,0.068,45.82
"7",1734.901,0.096,46.471
"8",1733.78,0.045,45.928
"9",1733.953,0.035,45.928
"10",1733.932,0.037,45.603
"11",1735.927,0.037,45.603
"12",1734.025,0.031,45.928
"13",1149.253,33.861,74.81
"14",1730.043,0.262,47.34
"15",1147.663,34.069,75.027
"16",1138.723,34.47,74.919
"17",1541.092,11.193,64.604
"18",1731.928,0.153,47.448
"19",1541.032,11.312,64.169
"20",1524.647,12.144,64.495
"21",1134.297,34.842,75.136
"22",1134.415,34.835,74.919
"23",1134.508,34.83,75.136
"24",1134.297,34.842,75.136
"25",1134.03,34.858,74.919
"26",1134.867,34.809,75.136
"27",1136.845,34.695,75.027
"28",1136.344,34.724,74.81
"29",1137.428,34.661,75.136
"30",1720.094,0.953,51.031
"31",1719.927,0.963,50.271
"32",1720.428,0.934,49.946
"33",1729.416,0.414,47.557
"34",1729.003,0.438,47.991
"35",1729.871,0.387,47.448
"36",1730.349,0.36,47.666
"37",1730.281,0.364,48.1
"38",1730.525,0.349,47.557
"39",1128.729,35.164,74.701
"40",1129.112,35.142,74.484
"41",1128.604,35.171,75.027
"42",1128.768,35.162,74.701
"43",1129.191,35.138,74.484
"44",1128.604,35.171,75.027
"45",1130.577,35.057,74.484
"46",1130.712,35.05,75.027
"47",1130.516,35.061,74.593
"48",1537.892,11.494,65.147
"49",1538.595,11.453,64.712
"50",1537.304,11.528,65.038
"51",1542.338,11.236,64.712
"52",1541.825,11.266,64.712
"53",1542.7,11.215,64.712
"54",1537.892,11.494,65.147
"55",1537.479,11.517,64.929
"56",1538.29,11.471,65.038
"57",1720.668,0.92,50.706
"58",1720.383,0.936,50.38
"59",1721.126,0.893,49.186
"60",1731.507,0.293,48.1
"61",1731.095,0.317,47.883
"62",1731.955,0.267,47.448
"63",1732.496,0.235,47.666
"64",1732.414,0.24,47.557
"65",1732.664,0.226,47.666
"66",1522.296,12.396,64.929
"67",1522.776,12.368,64.929
"68",1521.897,12.419,64.821
"69",1525.781,12.194,64.929
"70",1525.293,12.222,65.038
"71",1526.151,12.173,64.712
"72",1521.729,12.429,64.929
"73",1521.574,12.438,64.821
"74",1521.897,12.419,64.821
