"","AIC","McFadden","HitMiss"
"1",1718.782,0.913,50.923
"2",1718.489,0.93,50.38
"3",1720.483,0.93,50.271
"4",1719.284,0.884,49.186
"5",1733.605,0.056,45.603
"6",1733.423,0.066,45.711
"7",1734.961,0.093,46.471
"8",1733.802,0.044,45.928
"9",1733.974,0.034,45.494
"10",1733.956,0.035,45.603
"11",1735.954,0.035,45.603
"12",1734.042,0.03,45.928
"13",1149.57,33.843,74.81
"14",1730.08,0.26,47.231
"15",1146.215,34.153,75.027
"16",1135.751,34.642,74.919
"17",1556.648,10.293,64.604
"18",1731.944,0.152,47.557
"19",1537.854,11.38,64.604
"20",1133.583,34.883,75.136
"21",1133.969,34.861,74.701
"22",1133.576,34.884,74.919
"23",1133.583,34.883,75.136
"24",1133.456,34.891,74.701
"25",1134.064,34.856,75.027
"26",1135.98,34.745,75.136
"27",1135.487,34.773,74.593
"28",1136.607,34.708,75.027
"29",1720.102,0.952,50.706
"30",1719.981,0.959,49.946
"31",1720.39,0.936,50.163
"32",1729.468,0.411,47.666
"33",1729.065,0.434,48.1
"34",1729.917,0.385,47.448
"35",1730.439,0.354,47.448
"36",1730.384,0.358,48.317
"37",1730.601,0.345,47.34
"38",1125.141,35.372,74.701
"39",1125.655,35.342,74.484
"40",1124.899,35.386,74.919
"41",1125.144,35.372,74.701
"42",1125.66,35.342,74.593
"43",1124.899,35.386,74.919
"44",1127.031,35.262,74.593
"45",1127.203,35.253,74.81
"46",1126.951,35.267,74.593
"47",1554.059,10.558,64.387
"48",1554.74,10.519,64.495
"49",1553.443,10.594,64.169
"50",1557.2,10.377,64.387
"51",1556.443,10.42,64.712
"52",1557.766,10.344,64.929
"53",1554.059,10.558,64.387
"54",1553.411,10.596,64.495
"55",1554.613,10.526,64.495
"56",1720.683,0.919,50.706
"57",1720.449,0.932,50.271
"58",1721.089,0.895,49.294
"59",1731.613,0.287,48.1
"60",1731.216,0.31,47.991
"61",1732.046,0.262,47.34
"62",1732.605,0.229,47.991
"63",1732.537,0.233,48.208
"64",1732.756,0.22,47.774
"65",1536.137,11.595,64.712
"66",1536.599,11.568,64.712
"67",1535.718,11.619,64.712
"68",1538.161,11.478,64.712
"69",1537.406,11.522,64.929
"70",1538.757,11.444,64.929
"71",1535.468,11.634,64.604
"72",1535.19,11.65,64.712
"73",1535.718,11.619,64.712
